"Fencing Men's Sabre, Individual",23
"Wrestling Men's Super-Heavyweight, Greco-Roman",17
"Shooting Men's Free Pistol, 50 metres",25
"Shooting Men's Air Pistol, 10 metres",25
Rowing Men's Coxless Fours,21
Boxing Men's Light-Flyweight,26
Boxing Men's Super-Heavyweight,26
"Wrestling Men's Flyweight, Greco-Roman",17
"Shooting Women's Air Rifle, 10 metres",25
Weightlifting Men's Middle-Heavyweight,16
Athletics Men's Javelin Throw,6
Volleyball Women's Volleyball,37
"Wrestling Men's Welterweight, Greco-Roman",17
"Wrestling Men's Middleweight, Greco-Roman",17
"Athletics Men's 3,000 metres Steeplechase",6
"Wrestling Men's Middleweight, Freestyle",17
Swimming Women's 100 metres Backstroke,8
Swimming Women's 200 metres Backstroke,8
Swimming Women's 4 x 100 metres Medley Relay,8
"Wrestling Men's Light-Heavyweight, Freestyle",17
Modern Pentathlon Men's Team,32
Boxing Men's Bantamweight,26
Athletics Women's 200 metres,6
Table Tennis Women's Singles,39
Table Tennis Women's Doubles,39
Shooting Men's Skeet,25
Swimming Women's 50 metres Freestyle,8
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",25
Athletics Men's Triple Jump,6
Weightlifting Women's Lightweight,16
Athletics Women's Long Jump,6
"Fencing Women's epee, Individual",23
Swimming Men's 200 metres Freestyle,8
Swimming Men's 4 x 100 metres Freestyle Relay,8
Swimming Men's 200 metres Backstroke,8
Swimming Men's 200 metres Individual Medley,8
Swimming Men's 400 metres Individual Medley,8
Badminton Women's Singles,9
Boxing Men's Light-Middleweight,26
Tennis Men's Singles,31
"Wrestling Men's Bantamweight, Freestyle",17
"Wrestling Men's Flyweight, Freestyle",17
"Athletics Women's 5,000 metres",6
Weightlifting Women's Light-Heavyweight,16
Weightlifting Women's Heavyweight,16
Athletics Men's Discus Throw,6
Taekwondo Men's Featherweight,27
Taekwondo Men's Welterweight,27
Judo Men's Heavyweight,1
Cycling Men's Sprint,28
Bobsleigh Men's Two,22
"Wrestling Men's Lightweight, Freestyle",17
Nordic Combined Men's Team,40
